n,tiempo,memoria
1,0.000000,12
2,0.000000,16
3,0.000000,20
4,0.000000,24
5,0.000000,28
6,0.000000,32
7,0.000000,36
8,0.000000,40
9,0.000000,44
10,0.000000,48
11,0.000000,52
12,0.000000,56
13,0.000000,60
14,0.000000,64
15,0.000000,68
16,0.000000,72
17,0.000000,76
18,0.000000,80
19,0.000000,84
20,0.000000,88
21,0.000000,92
22,0.000000,96
23,0.000000,100
24,0.000000,104
25,0.000000,108
26,0.000000,112
27,0.000000,116
28,0.000000,120
29,0.000000,124
30,0.000000,128
31,0.000000,132
32,0.000000,136
33,0.000000,140
34,0.000000,144
35,0.000000,148
36,0.000000,152
37,0.000000,156
38,0.000000,160
39,0.000000,164
40,0.000000,168
41,0.000000,172
42,0.000000,176
43,0.000000,180
44,0.000000,184
45,0.000000,188
46,0.000000,192
47,0.000000,196
48,0.000000,200
49,0.000000,204
50,0.000000,208
51,0.000000,212
52,0.000000,216
53,0.000000,220
54,0.000000,224
55,0.000000,228
56,0.000000,232
57,0.000000,236
58,0.000000,240
59,0.000000,244
60,0.000000,248
61,0.000000,252
62,0.000000,256
63,0.000000,260
64,0.000000,264
65,0.000000,268
66,0.000000,272
67,0.000000,276
68,0.000000,280
69,0.000000,284
70,0.000000,288
71,0.000000,292
72,0.000000,296
73,0.000000,300
74,0.000000,304
75,0.000000,308
76,0.000000,312
77,0.000000,316
78,0.000000,320
79,0.000000,324
80,0.000000,328
81,0.000000,332
82,0.000000,336
83,0.000000,340
84,0.000000,344
85,0.000000,348
86,0.000000,352
87,0.000000,356
88,0.000000,360
89,0.000000,364
90,0.000000,368
91,0.000000,372
92,0.000000,376
93,0.000000,380
94,0.000000,384
95,0.000000,388
96,0.000000,392
97,0.000000,396
98,0.000000,400
99,0.000000,404
100,0.000000,408
101,0.000000,412
102,0.000000,416
103,0.000000,420
104,0.000000,424
105,0.000000,428
106,0.000000,432
107,0.000000,436
108,0.000000,440
109,0.000000,444
110,0.000000,448
111,0.000000,452
112,0.000000,456
113,0.000000,460
114,0.000000,464
115,0.000000,468
116,0.000000,472
117,0.000000,476
118,0.000000,480
119,0.000000,484
120,0.000000,488
121,0.000000,492
122,0.000000,496
123,0.000000,500
124,0.000000,504
125,0.000000,508
126,0.000000,512
127,0.000000,516
128,0.000000,520
129,0.000000,524
130,0.000000,528
131,0.000000,532
132,0.000000,536
133,0.000000,540
134,0.000000,544
135,0.000000,548
136,0.000000,552
137,0.000000,556
138,0.000000,560
139,0.000000,564
140,0.000000,568
141,0.000000,572
142,0.000000,576
143,0.000000,580
144,0.000000,584
145,0.000000,588
146,0.000000,592
147,0.000000,596
148,0.000000,600
149,0.000000,604
150,0.000000,608
151,0.000000,612
152,0.000000,616
153,0.000000,620
154,0.000000,624
155,0.000000,628
156,0.000000,632
157,0.000000,636
158,0.000000,640
159,0.000000,644
160,0.000000,648
161,0.000000,652
162,0.000000,656
163,0.000000,660
164,0.000000,664
165,0.000000,668
166,0.000000,672
167,0.000000,676
168,0.000000,680
169,0.000000,684
170,0.000000,688
171,0.000000,692
172,0.000000,696
173,0.000000,700
174,0.000000,704
175,0.000000,708
176,0.000000,712
177,0.000000,716
178,0.000000,720
179,0.000000,724
180,0.000000,728
181,0.000000,732
182,0.000000,736
183,0.000000,740
184,0.000000,744
185,0.000000,748
186,0.000000,752
187,0.000000,756
188,0.000000,760
189,0.000000,764
190,0.000000,768
191,0.000000,772
192,0.000000,776
193,0.000000,780
194,0.000000,784
195,0.000000,788
196,0.000000,792
197,0.000000,796
198,0.000000,800
199,0.000000,804
200,0.000000,808
201,0.000000,812
202,0.000000,816
203,0.000000,820
204,0.000000,824
205,0.000000,828
206,0.000000,832
207,0.000000,836
208,0.000000,840
209,0.000000,844
210,0.000000,848
211,0.000000,852
212,0.000000,856
213,0.000000,860
214,0.000000,864
215,0.000000,868
216,0.000000,872
217,0.000000,876
218,0.000000,880
219,0.000000,884
220,0.000000,888
221,0.000000,892
222,0.000000,896
223,0.000000,900
224,0.000000,904
225,0.000000,908
226,0.000000,912
227,0.000000,916
228,0.000000,920
229,0.000000,924
230,0.000000,928
231,0.000000,932
232,0.000000,936
233,0.000000,940
234,0.000000,944
235,0.000000,948
236,0.000000,952
237,0.000000,956
238,0.000000,960
239,0.000000,964
240,0.000000,968
241,0.000000,972
242,0.000000,976
243,0.000000,980
244,0.000000,984
245,0.000000,988
246,0.000000,992
247,0.000000,996
248,0.000000,1000
249,0.000000,1004
250,0.000000,1008
251,0.000000,1012
252,0.000000,1016
253,0.000000,1020
254,0.000000,1024
255,0.000000,1028
256,0.000000,1032
257,0.000000,1036
258,0.000000,1040
259,0.000000,1044
260,0.000000,1048
261,0.000000,1052
262,0.000000,1056
263,0.000000,1060
264,0.000000,1064
265,0.000000,1068
266,0.000000,1072
267,0.000000,1076
268,0.000000,1080
269,0.000000,1084
270,0.000000,1088
271,0.000000,1092
272,0.000000,1096
273,0.000000,1100
274,0.000000,1104
275,0.000000,1108
276,0.000000,1112
277,0.000000,1116
278,0.000000,1120
279,0.000000,1124
280,0.000000,1128
281,0.000000,1132
282,0.000000,1136
283,0.000000,1140
284,0.000000,1144
285,0.000000,1148
286,0.000000,1152
287,0.000000,1156
288,0.000000,1160
289,0.000000,1164
290,0.000000,1168
291,0.000000,1172
292,0.000000,1176
293,0.000000,1180
294,0.000000,1184
295,0.000000,1188
296,0.000000,1192
297,0.000000,1196
298,0.000000,1200
299,0.000000,1204
300,0.000000,1208
301,0.000000,1212
302,0.000000,1216
303,0.000000,1220
304,0.000000,1224
305,0.000000,1228
306,0.000000,1232
307,0.000000,1236
308,0.000000,1240
309,0.000000,1244
310,0.000000,1248
311,0.000000,1252
312,0.000000,1256
313,0.000000,1260
314,0.000000,1264
315,0.000000,1268
316,0.000000,1272
317,0.000000,1276
318,0.000000,1280
319,0.000000,1284
320,0.000000,1288
321,0.000000,1292
322,0.000000,1296
323,0.000000,1300
324,0.000000,1304
325,0.000000,1308
326,0.000000,1312
327,0.000000,1316
328,0.000000,1320
329,0.000000,1324
330,0.000000,1328
331,0.000000,1332
332,0.000000,1336
333,0.000000,1340
334,0.000000,1344
335,0.000000,1348
336,0.000000,1352
337,0.000000,1356
338,0.000000,1360
339,0.000000,1364
340,0.000000,1368
341,0.000000,1372
342,0.000000,1376
343,0.000000,1380
344,0.000000,1384
345,0.000000,1388
346,0.000000,1392
347,0.000000,1396
348,0.000000,1400
349,0.000000,1404
350,0.000000,1408
351,0.000000,1412
352,0.000000,1416
353,0.000000,1420
354,0.000000,1424
355,0.000000,1428
356,0.000000,1432
357,0.000000,1436
358,0.000000,1440
359,0.000000,1444
360,0.000000,1448
361,0.000000,1452
362,0.000000,1456
363,0.000000,1460
364,0.000000,1464
365,0.000000,1468
366,0.000000,1472
367,0.000000,1476
368,0.000000,1480
369,0.000000,1484
370,0.000000,1488
371,0.000000,1492
372,0.000000,1496
373,0.000000,1500
374,0.000000,1504
375,0.000000,1508
376,0.000000,1512
377,0.000000,1516
378,0.000000,1520
379,0.000000,1524
380,0.000000,1528
381,0.000000,1532
382,0.000000,1536
383,0.000000,1540
384,0.000000,1544
385,0.000000,1548
386,0.000000,1552
387,0.000000,1556
388,0.000000,1560
389,0.000000,1564
390,0.000000,1568
391,0.000000,1572
392,0.000000,1576
393,0.000000,1580
394,0.000000,1584
395,0.000000,1588
396,0.000000,1592
397,0.000000,1596
398,0.000000,1600
399,0.000000,1604
400,0.000000,1608
401,0.000000,1612
402,0.000000,1616
403,0.000000,1620
404,0.000000,1624
405,0.000000,1628
406,0.000000,1632
407,0.000000,1636
408,0.000000,1640
409,0.000000,1644
410,0.000000,1648
411,0.000000,1652
412,0.000000,1656
413,0.000000,1660
414,0.000000,1664
415,0.000000,1668
416,0.000000,1672
417,0.000000,1676
418,0.000000,1680
419,0.000000,1684
420,0.000000,1688
421,0.000000,1692
422,0.000000,1696
423,0.000000,1700
424,0.000000,1704
425,0.000000,1708
426,0.000000,1712
427,0.000000,1716
428,0.000000,1720
429,0.000000,1724
430,0.000000,1728
431,0.000000,1732
432,0.000000,1736
433,0.000000,1740
434,0.000000,1744
435,0.000000,1748
436,0.000000,1752
437,0.000000,1756
438,0.000000,1760
439,0.000000,1764
440,0.000000,1768
441,0.000000,1772
442,0.000000,1776
443,0.000000,1780
444,0.000000,1784
445,0.000000,1788
446,0.000000,1792
447,0.000000,1796
448,0.000000,1800
449,0.000000,1804
450,0.000000,1808
451,0.000000,1812
452,0.000000,1816
453,0.000000,1820
454,0.000000,1824
455,0.000000,1828
456,0.000000,1832
457,0.000000,1836
458,0.000000,1840
459,0.000000,1844
460,0.000000,1848
461,0.000000,1852
462,0.000000,1856
463,0.000000,1860
464,0.000000,1864
465,0.000000,1868
466,0.000000,1872
467,0.000000,1876
468,0.000000,1880
469,0.000000,1884
470,0.000000,1888
471,0.000000,1892
472,0.000000,1896
473,0.000000,1900
474,0.000000,1904
475,0.000000,1908
476,0.000000,1912
477,0.000000,1916
478,0.000000,1920
479,0.000000,1924
480,0.000000,1928
481,0.000000,1932
482,0.000000,1936
483,0.000000,1940
484,0.000000,1944
485,0.000000,1948
486,0.000000,1952
487,0.000000,1956
488,0.000000,1960
489,0.000000,1964
490,0.000000,1968
491,0.000000,1972
492,0.000000,1976
493,0.000000,1980
494,0.000000,1984
495,0.000000,1988
496,0.000000,1992
497,0.000000,1996
498,0.000000,2000
499,0.000000,2004
